Tweet,Sentiment,Polarity,Subjectivity
"Balance of Power: Who's Left to Save Trump?
#TheResistance #resist  https://t.co/jF5hIATz1G",Positive,0.0,0.0
"RT @commondefense: You might be surprised. Trump fails even the most basic duties of a Commander in Chief. Veterans, retweet if you agree.…",Positive,0.024999999999999994,0.45625
"RT @CollinRugg: Dem 1:""How can we make Trump resign?""

Dem 2:""Lets start the hashtag #TrumpResign""

Dem 1:""Brilliant""

Liberalism is a ment…",Positive,0.9,1.0
RT @funder: Trump will go down as the worst fake president ever #TrumpResign,Negative,-0.5518518518518519,0.762962962962963
"RT @PalmerReport: Ten U.S. Navy sailors are missing after another collision, and Donald Trump’s response is sickeningly tone-deaf https://t…",Negative,-0.3666666666666667,0.35000000000000003
@kylegriffin1 Trump insult level 1/10. Desperation level 7/10,Positive,0.0,0.0
RT @MrFrexit: These fat women have actually convinced themselves that they are protesting President Trump by eating cake. https://t.co/ve9l…,Positive,0.0,0.1
"RT @MarkSimoneNY: Watch Jerry Lewis Make More Sense Than Democrats On ISIS, Trump and Obama: https://t.co/mEBeTU74p2",Positive,0.5,0.5
"@JoyAnnReid That's whataboutism. You do report fake news, but what about Trump? He plays golf.",Negative,-0.5,1.0
RT @Methone: Protest-Aktion: Zehntausende Bäume gegen Trump https://t.co/4G55OpgwCd #DieNachrichten,Positive,0.0,0.0
"RT @Mikel_Jollett: Can someone please publish a story like:

I Didn't Vote for Trump Because he Sucks and It Was Fucking Obvious From Day O…",Negative,-0.15,0.4
"RT @President: Exclusive: Secret Service out of money to pay agents because of Trump's frequent travel, large family. https://t.co/b5uTJuul…",Negative,-0.02857142857142859,0.4761904761904762
"@Morning_Joe 

Why are you even discussing the possibility that Trump can turn this around?
NO!

It's over. 
Now, there's Russia. That's all",Positive,0.0,0.0
How Jeff Sessions and Donald Trump have restarted the war on drugs https://t.co/LuJhcZXCbi,Positive,0.0,0.0
RT @RWPUSA: Falwell: a political operative appealing to an immoral minority with a convenient distortion of the Christian faith https://t.c…,Positive,0.16666666666666666,0.19999999999999998
